pathway,memory_vs_intermediate_padj,memory_vs_intermediate_NES,memory_vs_effector_padj,memory_vs_effector_NES,intermediate_vs_effector_padj,intermediate_vs_effector_NES
GSE17721_LPS_VS_POLYIC_16H_BMDM_DN,0.17173564301591984,-1.2451143765969215,0.7262151135024137,0.9234214879244712,0.8663330817469413,0.8585485291945677
GSE2128_C57BL6_VS_NOD_THYMOCYTE_DN,0.18768320229736118,-1.245814143633406,0.19813613882293318,-1.1689132307643302,0.8254712505577692,0.8791899860527103
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP,0.1797439041002588,-1.2463729609520857,0.6639855487247345,0.9572309371466916,0.3598127821422966,1.1341161024039035
GSE37301_MULTIPOTENT_PROGENITOR_VS_LYMPHOID_PRIMED_MPP_DN,0.17530521360719303,-1.2464291409154509,0.3550681982542592,1.1152571413646113,0.26332461964968623,1.1878889711458758
GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_DN,0.19866951830150553,-1.2468564187331754,0.07036632276265808,-1.359227597945979,0.3607241136764687,-1.0964378811225899
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN,0.1865159467097295,-1.247010372281,0.12896604806294365,-1.2454470406173281,0.5555925295844161,-1.0263257559870738
GSE3920_UNTREATED_VS_IFNB_TREATED_ENDOTHELIAL_CELL_UP,0.17173564301591984,-1.2472146197920861,0.09116020161148858,-1.3486298499973175,0.15487316421895858,-1.1765090049363023
GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN,0.1638787084621527,-1.2478714478498947,0.26302325581395347,1.1783093819986008,0.028313729136640473,1.4469180038301293
GSE3982_EOSINOPHIL_VS_BCELL_DN,0.1728900759555275,-1.2486186039330356,0.00934643983517116,1.6888327035409112,0.00857498891165227,1.7395143663445214
GSE3982_NEUTROPHIL_VS_BCELL_DN,0.1638787084621527,-1.2487409141079713,0.01557778822265494,1.5713945122645083,0.00857498891165227,1.7936990859253725
GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_CD4_TCELL_DN,0.19089666830626364,-1.2489748622742198,0.00934643983517116,2.172101038029476,0.00857498891165227,2.1245330218041287
GSE15271_CXCR4_POS_VS_NEG_GC_BCELL_UP,0.1928103667579442,-1.2490407236570173,0.00934643983517116,2.053335383346285,0.00857498891165227,2.0619791516208026
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_UP,0.15975556135186497,-1.2490927877218796,0.42621559215576954,1.0717733270355603,0.0749807142431166,1.3433376550480138
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_UP,0.18591109779468712,-1.249166359869926,0.17744402725629257,-1.2040848171731102,0.5075348930238954,-1.0375842367017583
GSE26928_NAIVE_VS_CXCR5_POS_CD4_TCELL_DN,0.19359628679723015,-1.2494032921968712,0.5751581077662535,-1.001381834515947,0.5719440946743278,1.0210574452531647
GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_DN,0.15835990296053118,-1.2498981496173054,0.00934643983517116,2.018641914853943,0.00857498891165227,2.069156007819595
GSE6269_E_COLI_VS_STAPH_AUREUS_INF_PBMC_UP,0.16928667602901362,-1.2499424656520983,0.46714181199267957,1.0559951490990154,0.4201275365053347,1.0967567537332747
GSE17721_CTRL_VS_PAM3CSK4_4H_BMDM_UP,0.16928667602901362,-1.250820760997833,0.2628462358450024,1.1757839491223279,0.06207368265761839,1.3603033452939444
GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_DN,0.17329736388365216,-1.2510684863100923,0.030090791180285344,1.4541840926894432,0.23177501692496294,1.2052933117225288
GSE17721_LPS_VS_PAM3CSK4_24H_BMDM_DN,0.1777902537615091,-1.2511018956940352,0.00934643983517116,1.7027258142835355,0.00857498891165227,1.7188306198268215
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN,0.18777254107386687,-1.25194136359627,0.00934643983517116,2.2814781811977256,0.00857498891165227,2.17656411870439
GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP,0.20997664330997662,-1.2521579816844426,0.18633768427236513,1.27209960756065,0.022278314310798946,1.5701813370043607
GSE3039_ALPHABETA_CD8_TCELL_VS_B2_BCELL_DN,0.1728900759555275,-1.252267743201971,0.03743444937474788,1.4470234155668644,0.026188479649100177,1.4996989005012464
GSE17721_CPG_VS_GARDIQUIMOD_24H_BMDM_DN,0.1588470017228284,-1.2529003927676061,0.4687063391937659,1.05287969087277,0.38433113432997423,1.1200364444313684
GSE17721_CPG_VS_GARDIQUIMOD_12H_BMDM_DN,0.169449081803005,-1.2530229558049075,0.611360530938903,0.9831495671855555,0.3274284601907728,1.1494315753708717
GSE41867_MEMORY_VS_EXHAUSTED_CD8_TCELL_DAY30_LCMV_DN,0.1588470017228284,-1.253121142449198,0.21851670969092304,-1.159788927586308,0.7129457615887642,0.9462485557847762
GSE19923_E2A_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP,0.17341040462427748,-1.2532282783272488,0.31067188534217904,1.1395293252741023,0.32597702677992585,1.1486852733726114
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP,0.18182355898618877,-1.254282027838347,0.020114112080852783,1.5192023521576086,0.026188479649100177,1.5209618665335358
GSE28130_ACTIVATED_VS_INDUCEED_TREG_DN,0.19364207388480784,-1.255032797521405,0.10166775179045424,1.3167855441677516,0.16470074268239407,1.2690497597263446
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP,0.16709586791936515,-1.256946749505263,0.29071595805737505,1.1547981993848866,0.14457068625576167,1.2728642932980763
