Gene,memory_vs_intermediate_log2FoldChange,memory_vs_intermediate_pvalue,memory_vs_intermediate_padj,memory_vs_effector_log2FoldChange,memory_vs_effector_pvalue,memory_vs_effector_padj,intermediate_vs_effector_log2FoldChange,intermediate_vs_effector_pvalue,intermediate_vs_effector_padj
Coil,0.0203491776048002,0.9067500335499722,0.9833722958323001,-0.15991020807122688,0.32363616570749393,0.5206775812513884,-0.1802593856760271,0.26720179755409007,0.44658203547596054
Tesk2,0.0322460742990759,0.8886074593666636,0.9794366032936377,0.6029390547378176,0.0060222354539714905,0.025214856366757004,0.5706929804387417,0.009590172179620942,0.034765672928506686
Dnah17,0.7023403062592944,0.024914512811968558,0.2174121936295647,0.8740459852877709,0.002530707358868514,0.01222106550983512,0.17170567902847642,0.5673808364587969,0.7286384031639666
Ttc37,0.43382994051962775,0.04762238040092361,0.31052908414393665,0.30745572462787707,0.13242790273834518,0.2784389514681601,-0.1263742158917507,0.5391492882315848,0.7074800746369619
Kcnk1,-1.4342566316745116,0.012535994682359955,0.14025358822516826,-3.7197493316708803,1.4599779984228423e-12,6.026950649710516e-11,-2.285492699996369,1.871264794459939e-6,2.357399097237559e-5
Pqlc1,-0.22802773588426836,0.2481463204560451,0.681163358648541,-0.5003327558512529,0.006572867167115317,0.02702145208032079,-0.2723050199669846,0.1379676426039481,0.27816325147795273
Scaper,0.14449922932354636,0.40970366191686697,0.8128296581974652,0.3271418758695845,0.04653625296803311,0.1279729099271345,0.18264264654603812,0.26930506241316027,0.4488417706886005
Rxfp1,1.7100231874811131,0.5376623491662847,NA,0.3399499656151408,0.8906601721457411,NA,-1.3700732218659724,0.6049524585149558,NA
Pds5b,-0.05774235832469856,0.6625401054381599,0.923005671181456,0.4151110016728047,8.523029908894166e-4,0.004938505945916814,0.4728533599975033,1.4676583533854314e-4,0.0010470756610719942
Cpsf1,0.034905928580933235,0.8564310132917448,0.9731727639150879,0.2167790409720358,0.22988170114120834,0.41138750957065845,0.18187311239110254,0.31403162313410693,0.49902631601763003
Fancd2,-0.3582292069747994,0.20672869977670685,0.629351657314949,2.8646407052147027,2.108522355585537e-25,5.036838203022731e-23,3.222869912189502,8.058804714771092e-32,2.210226276690498e-29
Cct2,-0.2456083763440686,0.041709786065159765,0.2905394133448863,0.3510934190675399,0.0019108010020368557,0.00971726107081814,0.5967017954116085,1.300527833177489e-7,2.12894624746178e-6
Cd226,-0.21716520561538508,0.21194868653869833,0.6348108039613879,0.09897529020552175,0.5431890733146214,0.7204986627307882,0.3161404958209068,0.052115886999809666,0.13428723610325122
Rpap1,0.055138987129014674,0.8095539635655677,0.9627568880445955,0.7817730636395231,2.6990079771663483e-4,0.0018605397044598804,0.7266340765105085,7.142563954695372e-4,0.004001845109244929
Ccdc17,0.7834416208586411,0.0028128973315346716,0.053901468938289995,0.5475475511870522,0.023165340710394527,0.07405357144825721,-0.2358940696715888,0.3457328884742493,0.5324108269674329
Wbscr17,0.7982761502855485,0.40497489761523053,0.809340883065397,0.04657730900883276,0.9570618670804346,0.9808775476582042,-0.7516988412767158,0.4059329813743353,0.592970083164107
Lyl1,0.4655285378453154,0.4245143249997426,0.8233720534183777,1.969968953988436,4.6720746776264153e-4,0.002968258507955846,1.5044404161431204,0.008017960810663492,0.029922035325094853
Gpbp1l1,0.4043777031687723,0.029567765109190913,0.24157225299259913,-0.7280549364784841,2.3397029102238577e-5,2.2028756185768999e-4,-1.1324326396472564,6.375856133261005e-11,1.8879304975125065e-9
Phka1,1.7294378228758185,0.18353701081040358,NA,3.7217820412459597,0.008371449351742407,0.032905416100442515,1.9923442183701414,0.1708815330562943,0.3245371833388357
