Gene,effector_vs_all_log2FoldChange,effector_vs_all_pvalue,effector_vs_all_padj,intermediate_vs_all_log2FoldChange,intermediate_vs_all_pvalue,intermediate_vs_all_padj,memory_vs_all_log2FoldChange,memory_vs_all_pvalue,memory_vs_all_padj
Fermt3,-0.5179425598421088,3.050235425141786e-6,2.772603646719444e-5,0.251950679231125,0.034094867520624156,0.14576329257030107,0.2659918806109825,0.025257550769414893,0.1329264912827122
Stip1,-0.4910441701332207,1.1033580482156301e-4,6.758209501480763e-4,0.39888164918857877,0.0033592907527527395,0.02784307671351404,0.09216252094464318,0.4980986709716778,0.7747415407869137
Rcor2,2.1783570399488945,3.649982023195837e-4,0.0019193741686990495,0.451573698186774,0.4971740370192936,0.7385768943204415,-2.6299307381356685,2.4693963108201895e-4,0.0038218925234602226
Mark2,0.12754673501657876,0.37650953811031607,0.546463454697377,-0.06741025970261141,0.6630994170690654,0.8453654198394556,-0.06013647531396736,0.6974707116703258,0.8808886150853596
AI846148,0.4539730792073919,0.05592677816385551,0.13006024890753315,0.09648866121885923,0.706641274788395,0.867462390616649,-0.5504617404262517,0.03383081358211306,0.1632376353507631
Lgals12,0.7222371310751844,0.7285384260730838,NA,1.3342142271344972,0.5449434384846644,NA,-2.0564513582096815,0.38410420657362665,NA
Smc3,0.059377044177619055,0.6077830424872874,0.7486964376514192,0.12202921955376211,0.32529313561351225,0.5939221567453907,-0.18140626373137989,0.1438031362290898,0.4079389486291537
Pdcd4,0.7097324342558688,0.006989955311431771,0.02388101437063532,-0.671482072163018,0.01735280869116073,0.0913401565128159,-0.03825036209285083,0.8921788174230932,0.9618068003279124
Shoc2,0.8593150858819637,9.424998201314563e-7,9.649043872842956e-6,-0.43824694516717977,0.02000013948177602,0.1007066608815205,-0.42106814071478327,0.02534219337195465,0.13313200236181272
Gpam,0.40240597752255225,0.019151848662581877,0.05489807281393795,-0.25491345067484056,0.1720997021104118,0.410678064474339,-0.14749252684771166,0.4267029039394916,0.7244529171277491
Acsl5,-0.3374093496526072,0.04063272257957585,0.10089780262779288,0.2336284516644033,0.18607518632174397,0.43067625366430445,0.10378089798820389,0.5569457462149126,0.8109074487585707
Zdhhc6,-0.23799883762475335,0.03105389278349773,0.08137509771963514,0.11816608806765966,0.31729510048318027,0.5855312506054863,0.11983274955709369,0.31009256244496997,0.6234589963318653
