Gene,effector_vs_all_stat,intermediate_vs_all_stat,memory_vs_all_stat
Rpl13,-5.931022413705555,2.214030967705829,3.3184873608992715
Chmp1a,3.545911422247048,-1.9453759587562018,-1.3577259111599747
Rpa1,-1.271083697344714,1.3984742669692602,-0.21300814373352575
Serpinf1,-3.236333102083358,0.1916613758661971,3.522171779246525
Tubgcp3,-2.0539591808787434,0.2732001967894297,1.6466332698152926
Oprm1,-0.2474934864400686,-0.8160059455293085,1.1099480486028719
Polr3d,0.7049822563404223,-1.9368978929036105,1.2985407224065029
Tcf7,-2.984572274101516,-4.272781205191751,7.072108442693718
Ddx3x,-4.257090415906844,1.711365087441212,2.2648170926706195
Il12rb1,-6.005775958596624,2.8043931636079407,2.830182259112733
Usp32,0.7501987037772209,-0.6110539647482468,-0.08330826881241936
Txnrd3,1.7129658371481868,-1.7235746134468155,0.16738297699501783
Fasl,6.4772807803191395,-1.872145964131513,-4.159659994885368
Znf512b,-0.36386899089877356,-3.4749092935622725,3.838896406234128
Dnajc5,-2.4398307118198477,1.5596678127202939,0.7159703570870276
Tpd52l2,-0.5562209672774564,0.9077346552368663,-0.38929909397317636
Fmr1,-0.9275636000789625,2.681066943062028,-1.806289270882399
Bcl11a,-4.749803375115167,-1.2521063392464273,6.063245293335871
Pxmp4,0.27983467005455526,0.03371632806493744,-0.2943449569681422
Dlg3,0.22201956644057785,0.7667949842372714,-0.9776684794275863
Gnb1l,1.2384946051955197,-0.47562811201916744,-0.6732330932710336
Mmp11,-1.1081892725612632,-0.5477665024544225,1.6817964243520709
Smarcb1,-5.814639027027266,3.7271344254568493,1.7177736071428833
Vpreb3,-1.9765640903131674,1.2916708307347449,0.6499126642555032
Hip1r,-4.704933975971116,2.1157447058441345,2.2770980811065393
Nsun5,2.9567991084693346,-2.797415922296193,0.04471800082170408
Top1mt,1.1152346972719462,-1.4495080825796798,0.41873010647404824
Gm38393,0.3695809157154401,-0.6560752848338152,0.3130511264087983
Mmp14,-1.3468938537531523,1.181834878891586,0.11816956706606922
Slc7a7,-5.016219455777777,4.58772427018947,0.38215859844864825
Oxa1l,-1.9929571384054172,0.9370351921377222,0.9289606728894115
Heatr6,1.4389212411395749,-1.0251298146019379,-0.3165343147960189
Ccl3,1.7216837700284344,-0.7066000405967272,-0.8931504977541638
Icam4,1.803081881456174,-2.334186517631595,0.9365236404233795
Ilf2,-2.085871704057213,2.3099002784005584,-0.36109489168814857
Chtop,-0.9898468536854471,0.4183542889993436,0.5049357673128808
Snapin,6.248664235923971,-3.518273917717251,-2.293882860064027
S100a4,-1.8665463514882352,2.3328867060068346,-0.5915095554580178
S100a3,-1.8616429587929035,-0.8405443431709081,2.677150696367371
S100a5,0.00911638298432207,0.003635305100442393,-0.012154009447280902
S100a6,-0.15492330323168887,1.3923443779142983,-1.2477207380134059
Scn4a,-0.43559700262131257,1.2920001949350082,-0.7544128327915851
Icam2,3.4685044031983283,-1.3730609954250592,-1.8528902271752705
Mapk7,-1.6381430821820604,0.2010954845032894,1.3318700705357387
