Gene,memory_vs_intermediate_stat,memory_vs_effector_stat,intermediate_vs_effector_stat
Cbx1,-1.278608456881861,3.153157282253291,4.519688980716549
Cdk5rap3,0.21601624998607633,-3.473295702515007,-3.7019438545700583
Copz2,-0.6180091659171729,1.0507639779023266,1.6600888531440183
Slc25a39,-0.3909363723671728,1.7235419346656677,2.1397845385452334
Sp2,-0.16994443060112227,-4.683287301762803,-4.49912614779079
Aatf,0.9297026121603333,-1.078269489133845,-2.069109346949056
Dync1h1,0.011879201154179626,-3.2611899088128107,-3.271877224699046
Cpsf4l,0.14394119212886908,0.3171198599259709,0.16219204955809563
Pex12,0.5533112511508457,-0.7312825509093006,-1.3212025628957234
Ndel1,-1.3654888679883035,-3.7891750397946153,-2.32649639242532
Slc25a35,0.2618899656513374,-2.4321464122092626,-2.696630863189617
Zbtb4,2.5760415588750876,-6.703307998809786,-9.387639894348014
Tnfsfm13,-0.45574136500911183,1.188077544064927,1.652686597717893
Mpdu1,-2.4032889377908906,6.247190169584734,8.801512903931002
Fxr2,0.3353728912546586,-2.1963373990698,-2.557900256866432
Atp5g3,-3.238544638516515,9.476403779948928,12.917994505714859
Cd68,-0.7804570196262757,1.4470540272154642,2.2811110754383273
Acsl1,0.7575889639961665,0.13414425853523748,-0.671855513782883
Abca5,1.912737179168217,2.3080065999549393,0.18631726407433155
Smyd4,-0.7097601781733742,-2.666027014274702,-1.9035501099427732
Lsp1,-1.644392245274473,-1.1824039835498648,0.5754463501748036
Zfyve27,0.44636596802223866,-1.9627929099712393,-2.4365014153062132
Avpi1,0.6966933394832964,0.5782158437313276,-0.16677797121577115
Sfrp5,0.757869094234122,-0.24189559222246407,-1.0286822964915459
Myh11,-1.378172920485344,-0.868948258415468,0.6359087094449835
Rad51d,0.31218553312324887,1.836426838843128,1.4970907932977258
Fndc8,0.5162107368875751,0.7597785006852453,0.20673826615597754
Pank3,-0.24785491992671363,-3.580970656959619,-3.3082770600972062
Rars,-0.26684275039738387,1.7718811170701727,2.0566239613611987
Wwc1,-0.8441106628598835,0.43015916175094543,1.2720363500703755
Ict1,-1.8945950771290283,-2.143660313067934,-0.11809688472921744
Fdxr,-1.3036245530662016,0.7673386873384284,2.1575718129866437
Otop3,-0.31620333113861,-4.021021445248745,-3.6991514505060152
Sult4a1,0.6627399261141955,0.8639778715225217,0.15230992761777787
Mrpl45,1.0078450958639227,0.5573838503993691,-0.5190207322388516
Irf1,0.575622533271435,3.383447025691874,2.767384254048943
Slc22a5,-0.4135483507519738,-0.7277316043935916,-0.28430261221673464
P4ha2,0.08029936834730492,-0.05922231901906263,-0.1445709105947613
Arrb1,-0.1939483179507714,-1.6980508961946608,-1.488236958098465
Csf2,1.0908180901871287,1.994812874382873,0.8244821442905734
Tm4sf5,-0.18103831146560598,3.0660544819184854,3.1792278388896102
Cxcl16,1.9750609989902284,5.297486340617273,3.22449974832842
Pelp1,0.3525378002604352,0.3857019627218035,0.008194256152044858
